variant,cls,acc,dice,iou,prec,rec
single_noTTA,benign,0.7564849853514471,0.4784810953888832,0.314475945017047,0.9822890111351371,0.31626922412289776
single_noTTA,benign,0.993179321288911,0.7547997805773188,0.6061674008757166,0.7695749440629801,0.7405812701750206
single_noTTA,malignant,0.9078369140623616,0.7300196674411183,0.5748275376597389,0.5787384833447351,0.9883805373989488
single_noTTA,benign,0.9930267333982861,0.9357333708326034,0.8792283298074016,0.9478632478605474,0.9239100249904918
single_noTTA,malignant,0.8310546874998732,0.5464154035229224,0.3759089115605795,0.38305571510604075,0.9527142857129247
single_noTTA,benign,0.9591979980467287,0.724500309086416,0.5680129240701648,0.9080578512373243,0.6026739801155251
single_noTTA,benign,0.9709777832029769,0.7611152976629476,0.6143552311423067,0.7433758586831615,0.7797220792568715
single_noTTA,benign,0.9960784912107855,0.8808530366208583,0.787075393531176,0.9021842355090012,0.8605072463690172
single_noTTA,malignant,0.9198303222654847,0.7852881078868879,0.6464809581478627,0.9531746031736575,0.667685892980773
single_noTTA,benign,0.8938751220701762,0.8407555809958007,0.72526170254761,0.9327846364878662,0.7652550850280238
single_noTTA,benign,0.6751556396483345,0.2584555365912228,0.14840593623739012,0.1559478772592871,0.7542183370588449
single_noTTA,malignant,0.9630432128904781,0.8609484441377535,0.7558467741927863,0.7650239771444086,0.9843770513312533
single_noTTA,normal,0.9973602294920354,0.0,0.0,0.0,0.0
single_noTTA,benign,0.9982299804685977,0.9080824088676064,0.8316400580430822,0.9124203821510761,0.9037854889447352
single_noTTA,malignant,0.9962921142576605,0.9093621782882904,0.8337893296796595,0.8871906841274586,0.9326702371772558
single_noTTA,benign,0.9978637695310978,0.8982558139469604,0.8153034300683997,0.8655462184752725,0.9335347431883152
single_noTTA,malignant,0.987106323242037,0.8815365203969135,0.7881674605144443,0.8478964401271631,0.9179562043768819
single_noTTA,benign,0.9709014892576644,0.6797649034413438,0.5148817094873699,0.515012722645,0.9995061728345704
single_noTTA,benign,0.9906463623045364,0.9243863327976756,0.8594036697227996,0.9570881226029193,0.893845419845196
single_noTTA,normal,0.9960479736326605,0.0,0.0,0.0,0.0
single_noTTA,benign,0.9946136474607857,0.945617008163695,0.8968439509032822,0.946345975945278,0.9448891625586673
