file,cls,mode,method,acc,dice,iou,prec,rec
benign_benign_142.png,benign,oracle,RegionGrowing,0.9907073974607864,0.09777777777632922,0.05140186915807785,0.9999999996969696,0.05140186915807785
benign_benign_142.png,benign,auto,Watershed,0.21774291992184178,0.02227562268756489,0.011263259402119332,0.011275872721653677,0.909657320858105
benign_benign_142.png,benign,auto,Otsu,0.5766906738280371,0.038405545927196395,0.01957873904438098,0.019639818491201205,0.8629283488962161
benign_benign_142.png,benign,auto,RegionGrowing,0.874832153320179,0.0,0.0,0.0,0.0
malignant_malignant_80.png,malignant,oracle,Watershed,0.8893890380858018,0.5906138815154511,0.419057541272304,0.4644697104277274,0.8108233834690483
malignant_malignant_80.png,malignant,oracle,Otsu,0.90080261230455,0.5037025727150899,0.33663265306088097,0.4960902255631638,0.5115521786315529
malignant_malignant_80.png,malignant,oracle,RegionGrowing,0.9036102294920496,0.04011548396894071,0.02046828965727947,0.9999999999242424,0.02046828965727947
malignant_malignant_80.png,malignant,auto,Watershed,0.3977966308593143,0.22163931839692697,0.12463125207937793,0.1269687041012028,0.871297875638283
malignant_malignant_80.png,malignant,auto,Otsu,0.6594696044920869,0.24130545639971399,0.1372071445139808,0.1545327875989922,0.5503178787400367
malignant_malignant_80.png,malignant,auto,RegionGrowing,0.8146972656248758,0.17083162638251342,0.09339305711079253,0.15261681102823882,0.1939835633428532
benign_benign_85.png,benign,oracle,Watershed,0.9015045166014249,0.6451932061778457,0.4762252515413208,0.5283103789715291,0.8284867306594742
benign_benign_85.png,benign,oracle,Otsu,0.9096679687498612,0.6262154312409229,0.45583233753060404,0.5664838930768031,0.7000282326359402
benign_benign_85.png,benign,oracle,RegionGrowing,0.8970947265623631,0.12438327707072919,0.0663159352068859,0.7750809061363255,0.06761716544315695
benign_benign_85.png,benign,auto,Watershed,0.10809326171873351,0.1950977692095573,0.10809326171873351,0.10809326171873351,0.9999999999985884
benign_benign_85.png,benign,auto,Otsu,0.47888183593742695,0.23791672245275186,0.13502013524804726,0.1412934004770365,0.7525409373224837
benign_benign_85.png,benign,auto,RegionGrowing,0.8909912109373641,0.0,0.0,0.0,0.0
benign_benign_414.png,benign,oracle,Watershed,0.7811126708983184,0.7304635388285207,0.5753781487728813,0.5879612825164586,0.9641386835965655
benign_benign_414.png,benign,oracle,Otsu,0.4470977783202443,0.28120846640608577,0.16360824504301097,0.2343140495866994,0.3515698626058471
benign_benign_414.png,benign,oracle,RegionGrowing,0.6970977783202061,0.030286747105646872,0.015376221417580787,0.9999999999677419,0.015376221417580787
